qid,query,query_stance,topic,age_group,gender,activity,activity_type,stance,geolocation,geo_temperature,normalized_smm
0,9/11,0,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,0
0,9/11,0,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,0
0,9/11,0,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,0
0,9/11,0,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,0
0,9/11,0,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,0
0,9/11,0,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,0
2,9/11 inside job,1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.509090909
2,9/11 inside job,1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.472727273
3,9/11 calls from plane,0,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,0
3,9/11 calls from plane,0,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,0
3,9/11 calls from plane,0,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,0
3,9/11 calls from plane,0,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,0
3,9/11 calls from plane,0,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,0
3,9/11 calls from plane,0,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,0
4,9/11 tribute,0,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,0
4,9/11 tribute,0,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,0
4,9/11 tribute,0,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,0
4,9/11 tribute,0,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,0
4,9/11 tribute,0,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,0
4,9/11 tribute,0,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,0
5,9/11 conspiracy,1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.290909091
5,9/11 conspiracy,1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.290909091
5,9/11 conspiracy,1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.290909091
