Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id,
17,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=MNyjZJOEXpE,How the 9/11 terror attacks unfolded | Telegraph Time Tunnel,"How the 9/11 terror attacks unfolded | Telegraph Time Tunnel by The Telegraph 2 years ago 2 minutes, 8 seconds 3,589,933 views",-1,128,3987854,8264,2786,0,1,3998905,0,
153,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=Q_OIXfkXEj0,9/11 Conspiracy Theories Ridiculous' - Al Qaeda,"9/11 Conspiracy Theories Ridiculous' - Al Qaeda by The Onion 10 years ago 2 minutes, 47 seconds 3,243,609 views",-1,167,3320028,29501,1781,0,15552,3366862,1,
101,6,9/11 conspiracy theories,9/11 conspiracy theory shawn dawson,https://www.youtube.com/watch?v=xRpPtuymV24,10 Shocking Conspiracies About 9/11,"10 Shocking Conspiracies About 9/11 by Alltime10s 3 years ago 7 minutes, 28 seconds 2,489,140 views",-1,448,2503835,21920,2288,0,4760,2532803,2,
1,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=vzInIjD6nKw,This Computer Simulation Explains How the Twin Towers Fell,"This Computer Simulation Explains How the Twin Towers Fell by Smithsonian Channel 3 years ago 4 minutes, 1 second 2,142,971 views",-1,241,2325171,10374,5588,0,11695,2352828,3,
6,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=NOKJ4ZXgK4Q,Purdue creates animation of 9/11 attack,"Purdue creates animation of 9/11 attack by Purdue University 11 years ago 4 minutes, 50 seconds 2,153,913 views",-1,290,2335558,5086,1599,0,5212,2347455,4,
2,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=9uOn7xLYPbc,Remembering 9/11: A Timeline of Tragic Events,"Remembering 9/11: A Timeline of Tragic Events by Inside Edition 3 years ago 2 minutes, 3 seconds 1,872,642 views",-1,123,1903403,9279,485,0,1542,1914709,5,
146,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=_FVAzn1Yuz8,9/11 Impact Anatomy | National Geographic,"9/11 Impact Anatomy | National Geographic by National Geographic 9 years ago 4 minutes, 58 seconds 781,501 views",-1,298,812024,3566,921,0,3036,819547,6,
110,7,9/11 conspiracy theories,9/11 conspiracy debunked,https://www.youtube.com/watch?v=nN3qUXJp7l0,Debunking 9/11 conspiracy theorists part 1 of 7 - Free fall and how the towers collapsed,"Debunking 9/11 conspiracy theorists part 1 of 7 - Free fall and how the towers collapsed by Myles Power 3 years ago 17 minutes 399,751 views",-1,1049,405844,4856,2962,0,28586,442248,7,
112,7,9/11 conspiracy theories,9/11 conspiracy debunked,https://www.youtube.com/watch?v=4ml6r7cuKe8,Debunking 9/11 Conspiracy Theorists,"Debunking 9/11 Conspiracy Theorists by Myles Power 1 year ago 1 hour, 36 minutes 181,960 views",-1,5762,196221,4591,1105,0,13146,215063,8,
3,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=9U82qnmyaig,Trump repeats controversial 9/11 claim,"Trump repeats controversial 9/11 claim by CNN 3 years ago 2 minutes, 17 seconds 134,976 views",-1,137,157525,582,991,0,864,159962,9,
111,7,9/11 conspiracy theories,9/11 conspiracy debunked,https://www.youtube.com/watch?v=ktfnyC5lR3U,9/11 conspiracies debunked by explosives expert,"9/11 conspiracies debunked by explosives expert by Rebel Media 3 years ago 10 minutes 68,020 views",-1,641,68972,1086,1254,0,3340,74652,10,
157,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=eGGjCZbMh9Y,Conspiracy Theories with Michael Shermer,"Conspiracy Theories with Michael Shermer by The Rubin Report 3 years ago 7 minutes, 57 seconds 26,550 views",-1,477,27250,616,120,0,433,28419,11,
66,4,9/11 conspiracy theories,9/11 tribute,https://www.youtube.com/watch?v=foniGED5RQo,9/11 tribute,"9/11 tribute by Sandy Allnock 9 years ago 103 seconds 2,136 views",-1,103,2844,27,4,0,4,2879,12,
17,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=MNyjZJOEXpE,How the 9/11 terror attacks unfolded | Telegraph Time Tunnel,"How the 9/11 terror attacks unfolded | Telegraph Time Tunnel by The Telegraph 2 years ago 2 minutes, 8 seconds 3,589,933 views",-1,128,3987854,8264,2786,0,1,3998905,0,13
1,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=vzInIjD6nKw,This Computer Simulation Explains How the Twin Towers Fell,"This Computer Simulation Explains How the Twin Towers Fell by Smithsonian Channel 3 years ago 4 minutes, 1 second 2,142,971 views",-1,241,2325171,10374,5588,0,11695,2352828,3,14
153,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=Q_OIXfkXEj0,9/11 Conspiracy Theories Ridiculous' - Al Qaeda,"9/11 Conspiracy Theories Ridiculous' - Al Qaeda by The Onion 10 years ago 2 minutes, 47 seconds 3,243,609 views",-1,167,3320028,29501,1781,0,15552,3366862,1,15
112,7,9/11 conspiracy theories,9/11 conspiracy debunked,https://www.youtube.com/watch?v=4ml6r7cuKe8,Debunking 9/11 Conspiracy Theorists,"Debunking 9/11 Conspiracy Theorists by Myles Power 1 year ago 1 hour, 36 minutes 181,960 views",-1,5762,196221,4591,1105,0,13146,215063,8,16
111,7,9/11 conspiracy theories,9/11 conspiracy debunked,https://www.youtube.com/watch?v=ktfnyC5lR3U,9/11 conspiracies debunked by explosives expert,"9/11 conspiracies debunked by explosives expert by Rebel Media 3 years ago 10 minutes 68,020 views",-1,641,68972,1086,1254,0,3340,74652,10,17
6,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=NOKJ4ZXgK4Q,Purdue creates animation of 9/11 attack,"Purdue creates animation of 9/11 attack by Purdue University 11 years ago 4 minutes, 50 seconds 2,153,913 views",-1,290,2335558,5086,1599,0,5212,2347455,4,18
3,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=9U82qnmyaig,Trump repeats controversial 9/11 claim,"Trump repeats controversial 9/11 claim by CNN 3 years ago 2 minutes, 17 seconds 134,976 views",-1,137,157525,582,991,0,864,159962,9,19
