Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
18,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=_qiVBOqNiOs,Student shoots video of WTC on 9/11 A former NYU student ...,"Student shoots video of WTC on 9/11 A former NYU student ... by CNN 7 years ago 3 minutes, 12 seconds 9,801,230 views",0,192,10274233,44661,4823,0,19402,10343119,0
8,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=SMDkvJRHaNM,The Falling Man | Behind The Photo | 100 Photos | TIME,"The Falling Man | Behind The Photo | 100 Photos | TIME by TIME 2 years ago 4 minutes, 18 seconds 8,663,129 views",0,258,8934897,47300,1800,0,9629,8993626,1
22,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=9eTzV7HvKHU,09.11.01: The towers are hit,"09.11.01: The towers are hit by CBS News 7 years ago 7 minutes, 18 seconds 5,070,505 views",0,438,5125203,14994,1952,0,3718,5145867,2
12,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=3HbD_Q6kmh8,"Unique, rare 9/11 material shot from the Hudson","Unique, rare 9/11 material shot from the Hudson by RTL Nieuws New York 7 years ago 7 minutes, 29 seconds 4,215,046 views",0,449,4330335,14721,1011,0,9083,4355150,3
15,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=GmedslmeiUc,9/11 Timeline: The Attacks on the World Trade Center in New York City | History,"9/11 Timeline: The Attacks on the World Trade Center in New York City | History by HISTORY 7 years ago 4 minutes, 57 seconds 4,114,640 views",0,297,4227483,21660,1120,0,4703,4254966,4
16,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=sBciZFE8lAw,9/11: Second plane hits South Tower,"9/11: Second plane hits South Tower by CNN 7 years ago 27 minutes 3,900,621 views",0,1636,4227837,12929,1163,0,8259,4250188,5
53,3,9/11 conspiracy theories,9/11 calls from plane,https://www.youtube.com/watch?v=m8Uloqbxy_M,New 9/11 audio recordings released,"New 9/11 audio recordings released by CNN 7 years ago 3 minutes, 10 seconds 3,415,849 views",0,190,3432433,10746,1477,0,5339,3449995,6
77,4,9/11 conspiracy theories,9/11 tribute,https://www.youtube.com/watch?v=V5teyjPeVco,Official 9/11 Memorial Museum Tribute In Time-Lapse 2004-2014,"Official 9/11 Memorial Museum Tribute In Time-Lapse 2004-2014 by EarthCam 4 years ago 2 minutes, 40 seconds 2,494,974 views",0,160,2527733,11139,541,0,1385,2540798,7
34,1,9/11 conspiracy theories,9/11 footage ground zero,https://www.youtube.com/watch?v=coqYraFn-B4,"Haunting, never-before-seen images of Ground Zero","Haunting, never-before-seen images of Ground Zero by CBS 7 years ago 3 minutes, 57 seconds 2,113,706 views",0,237,2168579,7280,662,0,2529,2179050,8
45,3,9/11 conspiracy theories,9/11 calls from plane,https://www.youtube.com/watch?v=my2Z6wO1c4U,A Plane Crash Reignites 9/11 Anxiety,"A Plane Crash Reignites 9/11 Anxiety by Smithsonian Channel 3 years ago 2 minutes, 54 seconds 1,959,792 views",0,174,2110800,10743,699,0,1753,2123995,9
9,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=T9eBroSQ6ug,9/11: 15 years later,"9/11: 15 years later by CBS Sunday Morning 2 years ago 9 minutes, 13 seconds 2,048,092 views",0,553,2076528,16916,756,0,3381,2097581,10
85,4,9/11 conspiracy theories,9/11 tribute,https://www.youtube.com/watch?v=jpCa7Ay596M,Live - Overcome (with Ground Zero Footage),"Live - Overcome (with Ground Zero Footage) by LiveVEVO 9 years ago 4 minutes, 15 seconds 1,841,310 views",0,255,1852613,7320,275,0,841,1861049,11
14,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=VveRmJpFW6o,9/11: Airliner hits North Tower,"9/11: Airliner hits North Tower by CNN 7 years ago 12 minutes 1,602,107 views",0,724,1736494,5820,630,0,2632,1745576,12
0,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=9gCN7pIX3Es,Rare video from ground zero on 9/11,"Rare video from ground zero on 9/11 by 60 Minutes 5 months ago 3 minutes, 14 seconds 1,072,478 views",0,194,1250470,9473,268,0,2718,1262929,13
11,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=Mh92V42UN2I,"9/11: South Tower collapses, Pentagon hit","9/11: South Tower collapses, Pentagon hit by CNN 7 years ago 31 minutes 861,159 views",0,1911,915813,2481,303,0,1498,920095,14
83,4,9/11 conspiracy theories,9/11 tribute,https://www.youtube.com/watch?v=wucTW_Y5hgU,U2 - Walk On (9/11 Tribute),"U2 - Walk On (9/11 Tribute) by U2VEVO 9 years ago 4 minutes, 11 seconds 902,829 views",0,251,909563,2115,108,0,241,912027,15
20,0,9/11 conspiracy theories,9/11,https://www.youtube.com/watch?v=8lMmVo1me2s,Video shows September 11th terror attacks,"Video shows September 11th terror attacks by CNN 8 years ago 81 seconds 734,011 views",0,81,753247,1504,218,0,508,755477,16
60,3,9/11 conspiracy theories,9/11 calls from plane,https://www.youtube.com/watch?v=NfzwrgkETNg,Long Lost 9/11 Note returned to family,"Long Lost 9/11 Note returned to family by CNN 6 years ago 3 minutes, 36 seconds 661,483 views",0,216,675097,3453,156,0,609,679315,17
23,1,9/11 conspiracy theories,9/11 footage ground zero,https://www.youtube.com/watch?v=SZfa5Hsi18I,(2011) Police helicopter footage of 9/11 attacks,"(2011) Police helicopter footage of 9/11 attacks by ABC News (Australia) 7 years ago 2 minutes, 2 seconds 629,246 views",0,122,669910,1558,166,0,44,671678,18
31,1,9/11 conspiracy theories,9/11 footage ground zero,https://www.youtube.com/watch?v=ieIFtjnBfJU,When the Towers Fell | National Geographic,"When the Towers Fell | National Geographic by National Geographic 8 years ago 3 minutes, 21 seconds 606,490 views",0,201,626989,2811,114,0,1168,631082,19
