Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
106,6,9/11 conspiracy theories,9/11 conspiracy theory shawn dawson,https://www.youtube.com/watch?v=RbwR_uHhiI0,MIND BLOWING CONSPIRACY THEORIES,"MIND BLOWING CONSPIRACY THEORIES by shane 10 months ago 36 minutes 25,343,359 views",1,2216,26354773,1023429,12311,0,235963,27626476,0
103,6,9/11 conspiracy theories,9/11 conspiracy theory shawn dawson,https://www.youtube.com/watch?v=X3ziP9JrlQk,MIND BLOWING CONSPIRACY THEORIES,"MIND BLOWING CONSPIRACY THEORIES by shane 12 months ago 28 minutes 15,231,783 views",1,1715,16248097,747883,6161,0,116205,17118346,1
152,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=gui_ATdfHx4,How Aluminum May Have Collapsed the Twin Towers,"How Aluminum May Have Collapsed the Twin Towers by Smithsonian Channel 3 years ago 2 minutes, 24 seconds 1,681,701 views",1,144,1815112,6945,3951,0,7829,1833837,2
102,6,9/11 conspiracy theories,9/11 conspiracy theory shawn dawson,https://www.youtube.com/watch?v=fJMQbfWvk4U,9/11 CONSPIRACY THEORIES,"9/11 CONSPIRACY THEORIES by Kendall Rae 1 year ago 33 minutes 653,084 views",1,2011,673774,35820,735,0,4834,715163,3
147,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=BUJwHlWT6Fs,9/11 Conspiracy?,"9/11 Conspiracy? by Videojug 11 years ago 53 seconds 444,878 views",1,53,463430,1130,368,0,1640,466568,4
107,6,9/11 conspiracy theories,9/11 conspiracy theory shawn dawson,https://www.youtube.com/watch?v=s04VUk_41r8,Two planes didn't take twin towers down,"Two planes didn't take twin towers down by RT America 9 years ago 4 minutes, 49 seconds 367,365 views",1,289,371653,2416,346,0,2729,377144,5
42,2,9/11 conspiracy theories,9/11 inside job,https://www.youtube.com/watch?v=i1BLRpiRVnY,Architects and engineers say 9/11 twin tower collapse was not possible,"Architects and engineers say 9/11 twin tower collapse was not possible by RT America 9 years ago 4 minutes, 35 seconds 365,811 views",1,275,368921,2297,255,0,3117,374590,6
115,8,9/11 conspiracy theories,9/11 conspiracy shane,https://www.youtube.com/watch?v=ZPb7RmrkpEg,"Couple Reacts : ""9/11 CONSPIRACY THEORIES"" by Shane Dawson Reaction!!!","Couple Reacts : ""9/11 CONSPIRACY THEORIES"" by Shane Dawson Reaction!!! by Dwayne N Jazz 2 years ago 13 minutes 262,096 views",1,839,267184,7598,98,0,1112,275992,7
155,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=vElqaFgn7OM,9/11 Conspiracy theory of Oscar Winner,"9/11 Conspiracy theory of Oscar Winner by ODE 10 years ago 110 seconds 248,074 views",1,110,249511,356,139,0,819,250825,8
149,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=Df-o5TKv0C0,Joe Rogan and Rosie Talk 9/11 Conspiracy Theory | The Rosie Show | Oprah Winfrey Network,"Joe Rogan and Rosie Talk 9/11 Conspiracy Theory | The Rosie Show | Oprah Winfrey Network by OWN 7 years ago 2 minutes, 31 seconds 187,813 views",1,151,192292,957,111,0,0,193360,9
94,5,9/11 conspiracy theories,9/11 conspiracy,https://www.youtube.com/watch?v=VBz2n0aUHNE,Did you know a 3rd Tower Fell on 9/11?,"Did you know a 3rd Tower Fell on 9/11? by THRIVE Movement 5 years ago 3 minutes, 51 seconds 137,841 views",1,231,150681,1130,154,0,1301,153266,10
40,2,9/11 conspiracy theories,9/11 inside job,https://www.youtube.com/watch?v=mB3gwgBVUyw,Daniel Sunjata: 9/11 was an inside job (part 1),"Daniel Sunjata: 9/11 was an inside job (part 1) by RT 9 years ago 12 minutes 105,839 views",1,725,110589,1333,55,0,632,112609,11
160,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=z9Vr1WbPF9I,9/11 - Evidence of Controlled Demolition of WTC - Dr. Niels Harrit PART 1,"9/11 - Evidence of Controlled Demolition of WTC - Dr. Niels Harrit PART 1 by Pandoras Box 4 years ago 1 hour, 14 minutes 61,420 views",1,4495,77392,309,54,0,435,78190,12
39,2,9/11 conspiracy theories,9/11 inside job,https://www.youtube.com/watch?v=sWhavDJlVyw,9/11 was an inside job' - US poet,"9/11 was an inside job' - US poet by RT 9 years ago 10 minutes 65,163 views",1,609,70520,639,40,0,413,71612,13
95,6,9/11 conspiracy theories,9/11 conspiracy theory shawn dawson,https://www.youtube.com/watch?v=exA8frs4Ubo,9/11 Conspiracy Theories | A Live Discussion,"9/11 Conspiracy Theories | A Live Discussion by Go Cell Phone Repair Streamed 4 months ago 1 hour, 17 minutes 27,753 views",1,4640,31401,103,31,0,96,31631,14
151,10,9/11 conspiracy theories,conspiracy theories 9/11,https://www.youtube.com/watch?v=ZJ3v8znxwUU,9/11 conspiracy theories thrive 10 years on,"9/11 conspiracy theories thrive 10 years on by AFP news agency 7 years ago 2 minutes, 19 seconds 22,943 views",1,139,23353,43,83,0,203,23682,15
