Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
177,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=e20vaAtncsM,"What are CHEMTRAILS? Proving they EXIST by ""CAPTAIN"" Joe","What are CHEMTRAILS? Proving they EXIST by ""CAPTAIN"" Joe by Captain Joe 1 year ago 5 minutes, 28 seconds 831,706 views",-1,328,866093,22939,2561,0,9569,901162,0
211,13,Chemtrail conspiracy theory,chemtrail documentary,https://www.youtube.com/watch?v=CEii1_kEoZs,The REAL Truth Behind 'Chemtrails',"The REAL Truth Behind 'Chemtrails' by The Young Turks 2 years ago 4 minutes, 7 seconds 298,628 views",-1,247,301111,3843,3773,0,3955,312682,1
176,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=WyHoaThrxSs,"What Are Airplane Chemtrails, Really?","What Are Airplane Chemtrails, Really? by Seeker 2 years ago 3 minutes, 40 seconds 136,441 views",-1,220,137928,3157,2409,0,3313,146807,2
168,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=ZonPvpgcBc0,Chemtrails,"Chemtrails by Reactions 1 year ago 2 minutes, 42 seconds 64,761 views",-1,162,71050,604,432,0,912,72998,3
336,19,Chemtrail conspiracy theory,Chemtrails,https://www.youtube.com/watch?v=nkn2ErAB3eY,Chemtrails | The Conspiracy Files,"Chemtrails | The Conspiracy Files by Alltime Conspiracies 3 months ago 10 minutes 66,531 views",-1,640,69630,1732,183,0,867,72412,4
173,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=iftua6lS7vI,Chemtrails: Widespread Conspiracy Theory DEBUNKED,"Chemtrails: Widespread Conspiracy Theory DEBUNKED by WatchMojo.com 5 months ago 7 minutes, 24 seconds 51,170 views",-1,444,56959,961,804,0,1820,60544,5
170,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=9Bopcme_Sz8,What Are Chemtrails?,"What Are Chemtrails? by Tech Insider 2 years ago 105 seconds 44,137 views",-1,105,47752,251,416,0,367,48786,6
171,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=IhB4RaJLllQ,Chemtrails: What is that $#%@! in the sky?!,"Chemtrails: What is that $#%@! in the sky?! by Storm Shield App 3 years ago 2 minutes, 18 seconds 32,374 views",-1,138,34551,277,350,0,520,35698,7
165,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=RYD0HlhLND4,Joe Rogan On Chemtrails,"Joe Rogan On Chemtrails by Joe Rogan University - Fan Channel 2 years ago 4 minutes, 49 seconds 30,863 views",-1,289,33874,198,211,0,557,34840,8
253,15,Chemtrail conspiracy theory,chemtrail pilot,https://www.youtube.com/watch?v=MEWvaQNpvs0,Chemtrails?,"Chemtrails? by Mentour Pilot 3 years ago 6 minutes, 14 seconds 22,717 views",-1,374,23949,917,34,0,355,25255,9
330,19,Chemtrail conspiracy theory,Chemtrails,https://www.youtube.com/watch?v=s7RQ2f9NV70,Happy Chemtrails to You: Scientists Debunk Fringe Theory | HowStuffWorks NOW,"Happy Chemtrails to You: Scientists Debunk Fringe Theory | HowStuffWorks NOW by HowStuffWorks 2 years ago 2 minutes, 51 seconds 19,791 views",-1,171,20354,373,427,0,1088,22242,10
167,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=UzcE2IaPsAE,"Meteorological Myths: ""Contrail vs. Chemtrails""","Meteorological Myths: ""Contrail vs. Chemtrails"" by Fox 9 Now | KNIN 5 years ago 4 minutes, 12 seconds 17,367 views",-1,252,18641,125,185,0,659,19610,11
333,19,Chemtrail conspiracy theory,Chemtrails,https://www.youtube.com/watch?v=c8SwOnmDSQ0,Why a Harvard scientist is pretty confident chemtrails don't exist,"Why a Harvard scientist is pretty confident chemtrails don't exist by CBC News 2 years ago 2 minutes, 28 seconds 7,579 views",-1,148,8278,93,178,0,186,8735,12
335,19,Chemtrail conspiracy theory,Chemtrails,https://www.youtube.com/watch?v=bkcK-l0p_qM,Verify: Is there a secret chemtrail spraying program?,"Verify: Is there a secret chemtrail spraying program? by 9NEWS 1 year ago 5 minutes, 20 seconds 2,810 views",-1,320,3276,25,76,0,152,3529,13
851,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=ytAsil0QOMw,Kylie Jenner On Chemtrails,"""If Kim Kardashian is Mother Gaia and Khloé Kardashian is your kooky aunt, then Kylie Jenner is your weird cousin who won't stop asking if jet fuel can melt steel beams on Facebook. During a marathon session of tweeting with fans and followers Monday night, Kylie took a break to make us think. The (poorly spelled) image she posted asks questions common amongst those familiar with the chemtrails movement, a group of people who believe either the government or the Illuminati (depending who you ask) is spreading chemicals used to brainwash the population using the contrails formed by airplanes.” * Cenk Uygur (http://www.twitter.com/cenkuygur) and Ana Kasparian (http://www.twitter.com/AnaKasparian) discuss on The Young Turks. Tell us what you think in the comment section below.",-1,292,158465,,,,,,14
852,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=83Ax4yncDbc,Kylie Jenner Chemtrail Conspiracy EXPOSED!,Kylie Jenner Chemtrail Conspiracy EXPOSED!,-1,581,70056,,,,,,15
853,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=hUEZmrcx_lM,The Fairy Tales of Chemtrails!,Another Tinfoil Tuesday awaits! Today we look at Chemtrails and the conspiracy theory that apparently says we are being sprayed with chemicals and metals from above! Let's set the record straight....,-1,667,178124,,,,,,16
858,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=CEii1_kEoZs,The REAL Truth Behind 'Chemtrails',"One of the conspiracy theories that just won't seem to quit is 'chemtrails.' Is it something you should be afraid of? John Iadarola, host of ThinkTank, breaks it down. Tell us what you think in the comment section below. https://www.tytnetwork.com/join Hosts: John Iadarola Cast: John Iadarola",-1,246,309389,,,,,,17
855,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=QKR2BsFbupQ,Debunking Chemtrails - Contrail vs. Chemtrail – #2,"This might surprise you to hear, but everyone I talked to at Save Our Sky (a protest against #Chemtrails and #Geoengeneering) accepts that aircraft can make white lines in the sky called contrails. These contrails are almost identical to chemtrails, apart from one major difference according to the protesters. Contrails only last seconds, whereas chemtrails can persist hour after hour. But is this true? Can contrails only last for a few seconds?",-1,501,68562,,,,,,18
856,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=0yE-AU8kNv4,Why Jets Leave White Trails In The Sky,The atmosphere is thin and cold the higher up a plane goes. The exhaust from a plane's engine is much hotter than the atmosphere. The water vapor from the hot plane engine turns to ice mid-air which we see as white lines in the sky called contrails.,-1,97,363875,,,,,,19
