Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id,
172,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=wpSRp_R0J9A,Chemtrails Explained In Under 2 minutes,"Chemtrails Explained In Under 2 minutes by UPROXX 1 year ago 107 seconds 66,883 views",0,107,88516,984,580,0,1771,91851,0,0
338,20,Chemtrail conspiracy theory,chemtrails exposed,https://www.youtube.com/watch?v=sSk1T_UuRQA,Chemtrails Exposed! Or Not...,"Chemtrails Exposed! Or Not... by David Pakman Show 4 years ago 16 minutes 13,006 views",0,970,13131,263,71,0,425,13890,1,1
340,20,Chemtrail conspiracy theory,chemtrails exposed,https://www.youtube.com/watch?v=GFukjMmALHU,Proof of Chemtrails. Exposed! Up Close!,"Proof of Chemtrails. Exposed! Up Close! by Rebecca Petty 2 years ago 31 seconds 1,730 views",0,31,1791,6,15,0,2,1814,2,2
251,15,Chemtrail conspiracy theory,chemtrail pilot,https://www.youtube.com/watch?v=aBIp1m1dv2M,MadisonStar Moon Reports Captain Carl The Chemtrail Pilot to the FBI,"MadisonStar Moon Reports Captain Carl The Chemtrail Pilot to the FBI by Echoplex Media 2 years ago 3 minutes, 9 seconds 351 views",0,189,359,15,4,0,11,389,3,3
847,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=UkLfPtYiidQ,Chemtrails: Conspiracy Or Fact? | Studio 10,"Are the white streaks left behind by aircraft really chemicals? We speak with believer Dan Wigington and retired air traffic controller Ken McLeod to discuss this conspiracy theory. Studio 10 | 8.30am – 12pm weekdays on Channel 10 featuring hosts Sarah Harris, Joe Hildebrand, Angela Bishop, Kerri-Anne Kennerley, Denise Scott and Denise Drysdale.",0,726,15457,,,,,,4,4
848,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=IvNUglZL3d4,Launchpad: Contrails,On our NASA site at: https://nasaeclips.arc.nasa.gov/playl... What is a contrail? How is it made? Learn all about these special clouds and how you can help NASA study clouds in your geographic location.,0,311,3596,,,,,,5,5
850,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=Wj1uErq9lJU,"""Are Chemtrails Real?"" Debate Pt 4 | PorcFest Derrick Cam Day 5","Thursday, June 26th 2014 - The Porcupine Freedom Festival in the White Mountains of New Hampshire. Vendors and vacationers gather from all around to serve one another, listen to speeches, and connect with others who want to get active for liberty in their lifetime.",0,474,373,,,,,,6,6
854,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=FuW8DWqF5RE,Chemtrails Debate w/Vadim Newquist,A Chemtrails debate Become a Patron: http://goo.gl/VRVjxK Subscribe to this channel: https://goo.gl/2oZaqY,0,1952,864,,,,,,7,7
340,20,Chemtrail conspiracy theory,chemtrails exposed,https://www.youtube.com/watch?v=GFukjMmALHU,Proof of Chemtrails. Exposed! Up Close!,"Proof of Chemtrails. Exposed! Up Close! by Rebecca Petty 2 years ago 31 seconds 1,730 views",0,31,1791,6,15,0,2,1814,10,8
172,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=wpSRp_R0J9A,Chemtrails Explained In Under 2 minutes,"Chemtrails Explained In Under 2 minutes by UPROXX 1 year ago 107 seconds 66,883 views",0,107,88516,984,580,0,1771,91851,8,9
848,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=IvNUglZL3d4,Launchpad: Contrails,On our NASA site at: https://nasaeclips.arc.nasa.gov/playl... What is a contrail? How is it made? Learn all about these special clouds and how you can help NASA study clouds in your geographic location.,0,311,3596,,,,,,13,10
338,20,Chemtrail conspiracy theory,chemtrails exposed,https://www.youtube.com/watch?v=sSk1T_UuRQA,Chemtrails Exposed! Or Not...,"Chemtrails Exposed! Or Not... by David Pakman Show 4 years ago 16 minutes 13,006 views",0,970,13131,263,71,0,425,13890,9,11
847,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=UkLfPtYiidQ,Chemtrails: Conspiracy Or Fact? | Studio 10,"Are the white streaks left behind by aircraft really chemicals? We speak with believer Dan Wigington and retired air traffic controller Ken McLeod to discuss this conspiracy theory. Studio 10 | 8.30am – 12pm weekdays on Channel 10 featuring hosts Sarah Harris, Joe Hildebrand, Angela Bishop, Kerri-Anne Kennerley, Denise Scott and Denise Drysdale.",0,726,15457,,,,,,12,12
251,15,Chemtrail conspiracy theory,chemtrail pilot,https://www.youtube.com/watch?v=aBIp1m1dv2M,MadisonStar Moon Reports Captain Carl The Chemtrail Pilot to the FBI,"MadisonStar Moon Reports Captain Carl The Chemtrail Pilot to the FBI by Echoplex Media 2 years ago 3 minutes, 9 seconds 351 views",0,189,359,15,4,0,11,389,11,13
850,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=Wj1uErq9lJU,"""Are Chemtrails Real?"" Debate Pt 4 | PorcFest Derrick Cam Day 5","Thursday, June 26th 2014 - The Porcupine Freedom Festival in the White Mountains of New Hampshire. Vendors and vacationers gather from all around to serve one another, listen to speeches, and connect with others who want to get active for liberty in their lifetime.",0,474,373,,,,,,14,14
340,20,Chemtrail conspiracy theory,chemtrails exposed,https://www.youtube.com/watch?v=GFukjMmALHU,Proof of Chemtrails. Exposed! Up Close!,"Proof of Chemtrails. Exposed! Up Close! by Rebecca Petty 2 years ago 31 seconds 1,730 views",0,31,1791,6,15,0,2,1814,18,15
854,50,Chemtrail conspiracy theory,chemtrail debate,https://www.youtube.com/watch?v=FuW8DWqF5RE,Chemtrails Debate w/Vadim Newquist,A Chemtrails debate Become a Patron: http://goo.gl/VRVjxK Subscribe to this channel: https://goo.gl/2oZaqY,0,1952,864,,,,,,15,16
172,11,Chemtrail conspiracy theory,Chemtrail,https://www.youtube.com/watch?v=wpSRp_R0J9A,Chemtrails Explained In Under 2 minutes,"Chemtrails Explained In Under 2 minutes by UPROXX 1 year ago 107 seconds 66,883 views",0,107,88516,984,580,0,1771,91851,16,17
338,20,Chemtrail conspiracy theory,chemtrails exposed,https://www.youtube.com/watch?v=sSk1T_UuRQA,Chemtrails Exposed! Or Not...,"Chemtrails Exposed! Or Not... by David Pakman Show 4 years ago 16 minutes 13,006 views",0,970,13131,263,71,0,425,13890,17,18
251,15,Chemtrail conspiracy theory,chemtrail pilot,https://www.youtube.com/watch?v=aBIp1m1dv2M,MadisonStar Moon Reports Captain Carl The Chemtrail Pilot to the FBI,"MadisonStar Moon Reports Captain Carl The Chemtrail Pilot to the FBI by Echoplex Media 2 years ago 3 minutes, 9 seconds 351 views",0,189,359,15,4,0,11,389,19,19
