Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
413,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=xM9S4QiEHEY,Proving The Earth Is Flat!,"Proving The Earth Is Flat! by nigahiga 1 year ago 10 minutes 17,580,580 views",-1,624,18090593,547212,31361,0,79800,18748966,0
366,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=RywkkwO78m8,Flat Earth PROVEN By Independent Research,"Flat Earth PROVEN By Independent Research by MrBeast 5 months ago 11 minutes 7,148,666 views",-1,712,7370231,196674,31221,0,65993,7664119,1
354,21,Flat Earth,flat earth,https://www.youtube.com/watch?v=hLPPE3_DVCw,"Neil Tyson Demonstrates Absurdity of ""Flat Earth""","Neil Tyson Demonstrates Absurdity of ""Flat Earth"" by StarTalk 11 months ago 9 minutes 3,805,535 views",-1,540,4063335,108383,6910,0,48826,4227454,2
428,26,Flat Earth,is the earth flat,https://www.youtube.com/watch?v=T4WjyTV98lg,This Is How We Know Earth Isn't Flat,"This Is How We Know Earth Isn't Flat by Life Noggin 1 year ago 3 minutes, 53 seconds 3,771,330 views",-1,233,3841517,73682,6862,0,49953,3972014,3
401,24,Flat Earth,flat earth brothers channel,https://www.youtube.com/watch?v=YSAz-Ot3Mco,Rocket-Man PROVES Earth Is FLAT!,"Rocket-Man PROVES Earth Is FLAT! by LazarBeam 10 months ago 10 minutes 2,070,635 views",-1,602,2179746,39864,1827,0,13854,2235291,4
419,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=XHBZkek8OSU,The Nightly Show - Neil deGrasse Tyson Slams Flat-Earth Theorist B.o.B,"The Nightly Show - Neil deGrasse Tyson Slams Flat-Earth Theorist B.o.B by Comedy Central 3 years ago 4 minutes, 30 seconds 1,897,789 views",-1,270,1956632,42252,2702,0,13880,2015466,5
390,24,Flat Earth,flat earth brothers channel,https://www.youtube.com/watch?v=qkRnJutL5ko,5 Flat Earth Arguments DEBUNKED,"5 Flat Earth Arguments DEBUNKED by Harry Evett 1 year ago 20 minutes 1,482,137 views",-1,1220,1694341,27510,6321,0,27453,1755625,6
424,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=e5ACN9iF8Jw,5 Facts That Prove The Earth Is Flat,"5 Facts That Prove The Earth Is Flat by Engineering Explained 10 months ago 7 minutes, 30 seconds 1,415,644 views",-1,450,1698617,27360,13368,0,8048,1747393,7
406,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=06bvdFK3vVU,Flat Earth vs. Round Earth | Explorer,"Flat Earth vs. Round Earth | Explorer by National Geographic 3 weeks ago 10 minutes 827,252 views",-1,611,1644670,21634,5499,0,31474,1703277,8
407,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=thxbiR-XfJo,An Astronomer Responds To Flat Earth Theory,"An Astronomer Responds To Flat Earth Theory by Tech Insider 1 year ago 3 minutes, 42 seconds 1,313,278 views",-1,222,1478672,16313,5258,0,23922,1524165,9
380,23,Flat Earth,flat earth british,https://www.youtube.com/watch?v=VTAyGLEk_FE,Brian Cox Reveals Why the Earth Is Round | This Morning,"Brian Cox Reveals Why the Earth Is Round | This Morning by This Morning 2 years ago 3 minutes, 50 seconds 1,066,748 views",-1,230,1113213,5352,1871,0,0,1120436,10
426,26,Flat Earth,is the earth flat,https://www.youtube.com/watch?v=Aj6Kc1mvsdo,Why is the Earth Round and the Milky Way Flat? | Space Time | PBS Digital Studios,"Why is the Earth Round and the Milky Way Flat? | Space Time | PBS Digital Studios by PBS Space Time 2 years ago 14 minutes 972,702 views",-1,857,996678,18999,574,0,3629,1019880,11
387,23,Flat Earth,flat earth british,https://www.youtube.com/watch?v=6Ghzi_bIpbM,Elon Musk Owns Flat earther's! | TMZ TV,"Elon Musk Owns Flat earther's! | TMZ TV by TMZ 1 year ago 87 seconds 946,236 views",-1,87,952078,5621,5299,0,6515,969513,12
425,26,Flat Earth,is the earth flat,https://www.youtube.com/watch?v=3oz7k7Wn_vo,"Hey Bill Nye, ""How Do We Know the Earth Is Round?"" #TuesdaysWithBill","Hey Bill Nye, ""How Do We Know the Earth Is Round?"" #TuesdaysWithBill by Big Think 2 years ago 5 minutes, 7 seconds 790,311 views",-1,307,823491,15117,2787,0,14050,855445,13
410,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=CGjFAe018oA,3 proofs that debunk flat-Earth theory | NASA's Michelle Thaller,"3 proofs that debunk flat-Earth theory | NASA's Michelle Thaller by Big Think 8 months ago 7 minutes, 5 seconds 586,241 views",-1,425,724728,12387,8406,0,58829,804350,14
423,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=mYB1JP-gfLE,Why Do Flat Earth Believers Still Exist? | Ars Technica,"Why Do Flat Earth Believers Still Exist? | Ars Technica by Ars Technica 3 months ago 6 minutes, 5 seconds 524,608 views",-1,365,667832,19784,3138,0,17718,708472,15
