Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id,
416,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=VNqNnUJVcVs,Is Earth Actually Flat?,"Is Earth Actually Flat? by Vsauce 4 years ago 10 minutes 25,119,594 views",0,631,25772907,465068,37594,0,148989,26424558,0,0
412,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=erA3WQE9Zes,Phillip Is Absolutely Baffled by the Men Who Believe the Earth Is Flat | This Morning,"Phillip Is Absolutely Baffled by the Men Who Believe the Earth Is Flat | This Morning by This Morning 9 months ago 7 minutes, 6 seconds 4,070,057 views",0,426,4310955,33386,5478,0,0,4349819,1,1
411,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=JO-ndBqZORk,The Flat Earth Theory Explained,"The Flat Earth Theory Explained by BuzzFeed Multiplayer 10 months ago 6 minutes, 40 seconds 2,180,285 views",0,400,2381021,30985,50509,0,24866,2487381,2,2
418,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=iwku5Alsi04,Man launches himself in self-made rocket to prove flat Earth theory,"Man launches himself in self-made rocket to prove flat Earth theory by CBS News 10 months ago 71 seconds 1,568,692 views",0,71,1666714,10374,2878,0,11717,1691683,3,3
436,28,Flat Earth,flat earth conspiracy,https://www.youtube.com/watch?v=4ylYvNnP1rg,People From Around The Globe Met For The First Flat Earth Conference (HBO),"People From Around The Globe Met For The First Flat Earth Conference (HBO) by VICE News 1 year ago 4 minutes, 1 second 1,565,843 views",0,241,1612525,15176,6132,0,22355,1656188,4,4
408,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=x3vcSab13Sk,Why do people still think the Earth is flat? - BBC News,"Why do people still think the Earth is flat? - BBC News by BBC News 1 year ago 3 minutes, 8 seconds 1,188,953 views",0,188,1287551,8404,3469,0,22233,1321657,5,5
415,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=1gHbwT_R9t0,"Inside a Flat Earth convention, where nearly everyone believes Earth isn't round","Inside a Flat Earth convention, where nearly everyone believes Earth isn't round by ABC News 7 months ago 7 minutes, 7 seconds 1,058,294 views",0,427,1272903,8287,3024,0,24918,1309132,6,6
439,28,Flat Earth,flat earth conspiracy,https://www.youtube.com/watch?v=mayqd9oX7fg,Earth is Undeniably Flat: 'This is not even a conspiracy theory' Says NBA Star Kyrie Irving,"Earth is Undeniably Flat: 'This is not even a conspiracy theory' Says NBA Star Kyrie Irving by Beyond Science 1 year ago 5 minutes, 7 seconds 602,965 views",0,307,606030,14225,1457,0,6489,628201,7,7
373,23,Flat Earth,flat earth british,https://www.youtube.com/watch?v=3lBpuBqxDVA,Meeting & Interviewing A Flat-Earther!,"Meeting & Interviewing A Flat-Earther! by Alfie Deyes 2 months ago 57 minutes 245,574 views",0,3433,262869,10597,688,0,520,274674,8,8
421,25,Flat Earth,earth is flat,https://www.youtube.com/watch?v=32X88HMae0I,Man flies rocket to 'prove' Earth is flat - BBC News,"Man flies rocket to 'prove' Earth is flat - BBC News by BBC News 10 months ago 61 seconds 205,555 views",0,61,226484,1538,475,0,1452,229949,9,9
