Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id,
357,21,Flat Earth,flat earth,https://www.youtube.com/watch?v=JmGc8J30Kso,THE FLAT EARTH: To The Edge And Back (OFFICIAL TRAILER),"THE FLAT EARTH: To The Edge And Back (OFFICIAL TRAILER) by Logan Paul Vlogs 2 days ago 2 minutes, 22 seconds 1,236,404 views",1,142,1891519,78504,29075,0,30562,2029660,0,
365,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=fDBRhxryfZM,Flat Earth Dome Explained 100% & the Entrance to Agartha,"Flat Earth Dome Explained 100% & the Entrance to Agartha by Flat Earth Paradise 2 years ago 28 minutes 1,595,337 views",1,1685,1609798,20682,6469,0,0,1636949,1,
434,28,Flat Earth,flat earth conspiracy,https://www.youtube.com/watch?v=DPRJzNc876A,This Flat Earther Thinks NASA is Lying to You,"This Flat Earther Thinks NASA is Lying to You by VICE 6 months ago 5 minutes, 12 seconds 496,553 views",1,312,534617,4407,5457,0,7708,552189,2,
360,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=yelfvc5E3js,Flat Earth Matrix: The Land of the Dead & the Hyperborean Antidote,"Flat Earth Matrix: The Land of the Dead & the Hyperborean Antidote by Flat Earth Paradise 1 year ago 18 minutes 285,876 views",1,1090,289281,4781,628,0,0,294690,3,
393,24,Flat Earth,flat earth brothers channel,https://www.youtube.com/watch?v=L-s7hfkH8vM,Flat Earth Brothers try to Debunk Weather!!,"Flat Earth Brothers try to Debunk Weather!! by SciManDan 4 months ago 13 minutes 193,223 views",1,789,211814,8694,201,0,4328,225037,4,
400,24,Flat Earth,flat earth brothers channel,https://www.youtube.com/watch?v=rk2vYLZ5A3U,FINALLY! A REAL PICTURE OF EARTH FROM SPACE! THANKS ISRAEL!,"FINALLY! A REAL PICTURE OF EARTH FROM SPACE! THANKS ISRAEL! by FLAT EARTH BROTHERS 6 days ago 3 minutes, 21 seconds 145,766 views",1,201,188731,3687,875,0,2657,195950,5,
397,24,Flat Earth,flat earth brothers channel,https://www.youtube.com/watch?v=78OyHkGh04o,FLAT EARTHER FINDS THE CURVE!!!,"FLAT EARTHER FINDS THE CURVE!!! by FLAT EARTH BROTHERS 10 months ago 6 minutes, 20 seconds 176,327 views",1,380,180157,1837,1381,0,3790,187165,6,
381,23,Flat Earth,flat earth british,https://www.youtube.com/watch?v=JLKIUnApa5o,Is The Earth Flat??? (Ft A Flat-Earther),"Is The Earth Flat??? (Ft A Flat-Earther) by Alfie Deyes 2 months ago 53 minutes 156,969 views",1,3223,173522,7497,484,0,167,181670,7,
362,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=al7Dd1UIHnE,Flat Earth: Paradise Found - The Cradle Of Humanity At The North Pole - Intro,"Flat Earth: Paradise Found - The Cradle Of Humanity At The North Pole - Intro by FlatWater FlatEarth 3 years ago 17 minutes 177,322 views",1,1066,179741,1257,193,0,0,181191,8,
367,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=kmmXignV250,Flat Earth: Shambhala is Real!,"Flat Earth: Shambhala is Real! by Flat Earth Paradise 2 years ago 9 minutes, 22 seconds 165,282 views",1,562,166217,1733,362,0,504,168816,9,
399,24,Flat Earth,flat earth brothers channel,https://www.youtube.com/watch?v=UM4wZpFpw0U,MIND BLOWING FLAT EARTH TALK with Shane Dawson & His Brother,"MIND BLOWING FLAT EARTH TALK with Shane Dawson & His Brother by Celebrate Truth 8 months ago 18 minutes 128,380 views",1,1088,134879,4377,512,0,1932,141700,10,
358,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=issAPxADKW8,"Flat Earth North Pole Hole, Apollo the Sun & Return to Paradise","Flat Earth North Pole Hole, Apollo the Sun & Return to Paradise by Flat Earth Paradise 2 years ago 17 minutes 29,817 views",1,1077,31381,663,54,0,287,32385,11,
368,22,Flat Earth,flat earth paradise,https://www.youtube.com/watch?v=-XqLVsjD8Mc,Moana Decoded: Restoration of Flat Earth's Heart - The End of Daze,"Moana Decoded: Restoration of Flat Earth's Heart - The End of Daze by Flat Earth Paradise 12 months ago 15 minutes 10,593 views",1,925,10836,311,18,0,0,11165,12,
382,23,Flat Earth,flat earth british,https://www.youtube.com/watch?v=HtobUe6z6eU,"FLAT EARTH BRITISH ,Why i know the Earth is Flat.","FLAT EARTH BRITISH ,Why i know the Earth is Flat. by Martin Liedtke 1 year ago 31 minutes 4,538 views",1,1863,5493,178,50,0,116,5837,13,
