Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
834,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=syVP6zDZN7I,Nvidia Debunks Conspiracy Theories About Moon Landing,"Nvidia Debunks Conspiracy Theories About Moon Landing by IGN 4 years ago 14 minutes 1,996,208 views",-1,883,2179964,20581,8793,0,23506,2232844,0
790,47,Moon landing conspiracy theories,moon,https://www.youtube.com/watch?v=WGTBJHFNywI,Birth of the Moon,"Birth of the Moon by SpaceRip 7 years ago 24 minutes 2,052,376 views",-1,1466,2092355,10031,859,0,3238,2106483,1
801,47,Moon landing conspiracy theories,moon,https://www.youtube.com/watch?v=BmzSQJ42G94,The Truth Behind Why The First Footprints On The Moon Don’t Match Neil Armstrong’s Boots,"The Truth Behind Why The First Footprints On The Moon Don’t Match Neil Armstrong’s Boots by Let Me Know 1 month ago 7 minutes, 26 seconds 1,438,166 views",-1,446,1817194,13098,3405,0,8076,1841773,2
701,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=FBhIDjWaByg,The Incredible Journey of Apollo 12,"The Incredible Journey of Apollo 12 by SpaceRip 6 years ago 24 minutes 1,582,855 views",-1,1471,1689154,7811,938,0,4203,1702106,3
827,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=O9y_AVYMEUs,Debunking Lunar Landing Conspiracies with Maxwell and VXGI,"Debunking Lunar Landing Conspiracies with Maxwell and VXGI by NVIDIA 4 years ago 9 minutes, 53 seconds 1,410,648 views",-1,593,1420482,5971,641,0,2840,1429934,4
843,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=zPj60sy9Cfw,Was the moon landing faked - Mythbusters,"Was the moon landing faked - Mythbusters by Discovery UK 8 years ago 4 minutes, 4 seconds 1,187,484 views",-1,244,1283361,13202,1192,0,5630,1303385,5
778,45,Moon landing conspiracy theories,moon landing fake,https://www.youtube.com/watch?v=dWBYAxhH3u4,Adam Ruins Everything - Why the Moon Landing Couldn't Have Been Faked | truTV,"Adam Ruins Everything - Why the Moon Landing Couldn't Have Been Faked | truTV by truTV 1 year ago 4 minutes, 54 seconds 921,013 views",-1,294,1002655,14683,912,0,2568,1020818,6
691,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=OCjhCL2iqlQ,"Apollo 11’s journey to the moon, annotated","Apollo 11’s journey to the moon, annotated by Vox 3 months ago 5 minutes, 14 seconds 665,195 views",-1,314,834290,29647,518,0,3001,867456,7
696,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=_loUDS4c3Cs,Moon Landings Faked? Filmmaker Says Not! | Video,"Moon Landings Faked? Filmmaker Says Not! | Video by VideoFromSpace 6 years ago 13 minutes 456,462 views",-1,789,505412,14600,2175,0,17467,539654,8
716,41,Moon landing conspiracy theories,moon landing steph curry,https://www.youtube.com/watch?v=lN_3FfznXLE,Steph Curry's moon landing take is ‘irresponsible’ – Max Kellerman | First Take,"Steph Curry's moon landing take is ‘irresponsible’ – Max Kellerman | First Take by ESPN 2 months ago 6 minutes, 47 seconds 393,537 views",-1,407,396704,3650,2344,0,8370,411068,9
845,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=DHt842u_Yw4,How Do We Know the Moon Landing Isn't Fake?,"How Do We Know the Moon Landing Isn't Fake? by Fraser Cain 4 years ago 6 minutes, 57 seconds 314,253 views",-1,417,325833,3565,1226,0,3615,334239,10
840,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=c43_hfbFr3g,Top 5 Apollo 11 Moon Landing Conspiracies,"Top 5 Apollo 11 Moon Landing Conspiracies by WatchMojo.com 7 months ago 4 minutes, 17 seconds 279,371 views",-1,257,325432,2839,949,0,1427,330647,11
700,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=6R3j1NU2nQM,Moon in Google Earth - Apollo 11 Landing,"Moon in Google Earth - Apollo 11 Landing by Google Earth 9 years ago 10 minutes 309,586 views",-1,657,325689,1703,250,0,2091,329733,12
789,47,Moon landing conspiracy theories,moon,https://www.youtube.com/watch?v=xbZN7QLjy2U,14 Secrets About The Apollo 11 Moon Landing,"14 Secrets About The Apollo 11 Moon Landing by World 5 List 1 year ago 12 minutes 205,624 views",-1,728,262578,1059,366,0,587,264590,13
782,46,Moon landing conspiracy theories,moon landing conspiracy,https://www.youtube.com/watch?v=0lc4u0399wc,Late Show Conspiracy Theories With Neil deGrasse Tyson,"Late Show Conspiracy Theories With Neil deGrasse Tyson by The Late Show with Stephen Colbert 5 months ago 85 seconds 181,589 views",-1,85,185052,5413,196,0,765,191426,14
713,41,Moon landing conspiracy theories,moon landing steph curry,https://www.youtube.com/watch?v=BqNjEKZcUKM,Kings Troll Stephen Curry By Playing Moon Landing Video During Warriors Intros,"Kings Troll Stephen Curry By Playing Moon Landing Video During Warriors Intros by Bleacher Report 2 months ago 48 seconds 184,392 views",-1,48,186554,3131,65,0,1038,190788,15
776,44,Moon landing conspiracy theories,moon landing audio,https://www.youtube.com/watch?v=-LvMHRT6H24,Astronaut Gene Cernan: We didn't go to space alone,"Astronaut Gene Cernan: We didn't go to space alone by Fox Business 3 years ago 4 minutes, 25 seconds 139,866 views",-1,264,180847,845,289,0,665,182646,16
712,41,Moon landing conspiracy theories,moon landing steph curry,https://www.youtube.com/watch?v=RX5R_-iO3yg,Steph Curry's questioning of moon landing doesn't make sense to Rachel Nichols | The Jump,"Steph Curry's questioning of moon landing doesn't make sense to Rachel Nichols | The Jump by ESPN 2 months ago 4 minutes, 7 seconds 155,213 views",-1,247,156082,1229,261,0,1909,159481,17
785,46,Moon landing conspiracy theories,moon landing conspiracy,https://www.youtube.com/watch?v=0mFh52k0Srg,Claire Foy on Moon Landing Conspiracy Theories,"Claire Foy on Moon Landing Conspiracy Theories by Jimmy Kimmel Live 1 month ago 5 minutes, 36 seconds 141,126 views",-1,336,156926,1800,93,0,617,159436,18
684,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=25m5x0wguZI,The Moon Landing Was a Disaster...Almost,"The Moon Landing Was a Disaster...Almost by Smithsonian Channel 5 years ago 4 minutes, 26 seconds 103,300 views",-1,266,128030,1012,58,0,408,129508,19
