Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
698,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=xMDdaNLc8DU,Inside NASA's Last Moon Mission,"Inside NASA's Last Moon Mission by Great Big Story 2 years ago 20 minutes 1,315,514 views",0,1219,1394361,14289,1130,0,5697,1415477,0
697,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=S9HdPi9Ikhk,Restored Apollo 11 EVA,"Restored Apollo 11 EVA by NASA 4 years ago 3 hours, 2 minutes 852,134 views",0,10951,917856,8265,618,0,555,927294,1
686,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=E96EPhqT-ds,CBS Coverage of Apollo 11 Lunar Landing,"CBS Coverage of Apollo 11 Lunar Landing by NASA 4 years ago 42 minutes 733,773 views",0,2549,782354,4631,587,0,561,788133,2
838,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=cnc_X-oDWsE,Was the Moon Landing Faked? | This Morning,"Was the Moon Landing Faked? | This Morning by This Morning 6 months ago 6 minutes, 5 seconds 538,460 views",0,365,617751,5765,1249,0,0,624765,3
694,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=c1CgNrjVHBU,How The First-Ever Moon Landing Was Re-Created In 'First Man' | Movies Insider,"How The First-Ever Moon Landing Was Re-Created In 'First Man' | Movies Insider by INSIDER 4 months ago 4 minutes, 6 seconds 352,458 views",0,246,370744,4789,198,0,1407,377138,4
688,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=BD-1iGWZRDA,First Moon Landing: NASA Releases New Video,"First Moon Landing: NASA Releases New Video by Sky News 9 years ago 112 seconds 202,948 views",0,112,263394,849,367,0,0,264610,5
746,43,Moon landing conspiracy theories,moon landing song,https://www.youtube.com/watch?v=c7_R1Lj0BV0,Man On The Moon (1969),"Man On The Moon (1969) by British Pathé 4 years ago 6 minutes, 29 seconds 178,515 views",0,389,211442,987,174,0,277,212880,6
760,44,Moon landing conspiracy theories,moon landing audio,https://www.youtube.com/watch?v=XkKPt7XGMns,Neil Armstrong's historic moon landing: 'one small step for man',"Neil Armstrong's historic moon landing: 'one small step for man' by The Telegraph 6 years ago 24 seconds 142,886 views",0,24,151397,467,96,0,242,152202,7
692,40,Moon landing conspiracy theories,moon landing,https://www.youtube.com/watch?v=MgwWycuvx-0,Flashback: 48th anniversary of Apollo moon landing,"Flashback: 48th anniversary of Apollo moon landing by The Globe and Mail 1 year ago 57 seconds 142,178 views",0,57,147194,535,142,0,0,147871,8
715,41,Moon landing conspiracy theories,moon landing steph curry,https://www.youtube.com/watch?v=W_ce4QGqiNw,Jalen Rose agrees with Steph Curry on fake moon landing | Jalen & Jacoby,"Jalen Rose agrees with Steph Curry on fake moon landing | Jalen & Jacoby by NBA on ESPN 2 months ago 3 minutes, 24 seconds 91,970 views",0,204,94028,818,445,0,2374,97665,9
766,44,Moon landing conspiracy theories,moon landing audio,https://www.youtube.com/watch?v=DejhGSEu8wk,Apollo 11 Mission Audio - Day 1,"Apollo 11 Mission Audio - Day 1 by NASA 4 years ago 1 hour, 7 minutes 85,927 views",0,4064,92166,833,26,0,139,93164,10
