Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
829,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=yo5w0pm24ic,What Happened On the Moon? - Analysis of the Lunar Photography,"What Happened On the Moon? - Analysis of the Lunar Photography by UFOTV® The Disclosure Network 8 years ago 2 hours, 13 minutes 2,891,863 views",1,7994,2906995,8854,3413,0,19758,2939020,0
839,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=6zm7LfuDCu8,I Don’t Believe The Moon Landing Happened,"I Don’t Believe The Moon Landing Happened by BuzzFeed Multiplayer 1 year ago 5 minutes, 48 seconds 2,300,744 views",1,348,2350110,45260,26178,0,18141,2439689,1
832,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=QhxTwcslfCY,13 Reasons Why the Moon Landing was FAKE - Ultra Spiritual life episode 125,"13 Reasons Why the Moon Landing was FAKE - Ultra Spiritual life episode 125 by AwakenWithJP 5 months ago 7 minutes, 4 seconds 384,895 views",1,424,416843,11124,1693,0,5507,435167,2
828,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=Zz9Bzi_GyD0,Astronauts on wires?,"Astronauts on wires? by Joe Rogan 11 years ago 3 minutes, 2 seconds 291,498 views",1,182,307141,1565,738,0,1481,310925,3
836,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=KS3blm2kjuo,Stanley Kubrick Moon Landing Conspiracy,"Stanley Kubrick Moon Landing Conspiracy by CineFix 5 years ago 5 minutes, 57 seconds 195,517 views",1,357,204472,1351,281,0,486,206590,4
830,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=wYnIvrDlhb4,Hoaxed moon photos - Dr. David Groves analysis,"Hoaxed moon photos - Dr. David Groves analysis by Joe Rogan 11 years ago 10 minutes 139,699 views",1,600,170319,1201,267,0,2010,173797,5
779,45,Moon landing conspiracy theories,moon landing fake,https://www.youtube.com/watch?v=-RIfYNZrwco,Was the Moon Landing Staged?,"Was the Moon Landing Staged? by American Heroes Channel 2 years ago 2 minutes, 59 seconds 59,986 views",1,179,69026,417,187,0,494,70124,6
832,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=QhxTwcslfCY,13 Reasons Why the Moon Landing was FAKE - Ultra Spiritual life episode 125,"13 Reasons Why the Moon Landing was FAKE - Ultra Spiritual life episode 125 by AwakenWithJP 5 months ago 7 minutes, 4 seconds 384,895 views",1,424,416843,11124,1693,0,5507,435167,7
828,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=Zz9Bzi_GyD0,Astronauts on wires?,"Astronauts on wires? by Joe Rogan 11 years ago 3 minutes, 2 seconds 291,498 views",1,182,307141,1565,738,0,1481,310925,8
830,48,Moon landing conspiracy theories,moon hoax,https://www.youtube.com/watch?v=wYnIvrDlhb4,Hoaxed moon photos - Dr. David Groves analysis,"Hoaxed moon photos - Dr. David Groves analysis by Joe Rogan 11 years ago 10 minutes 139,699 views",1,600,170319,1201,267,0,2010,173797,9
