Id,qid,topic,query,vid_url,vid_title,aria-label,Stance,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,popularity,v_id
484,30,Vaccine controversies,Vaccines revealed,https://www.youtube.com/watch?v=ze_Hlkz8dDs,Madison: Before & After Vaccine Induced Autism,"Madison: Before & After Vaccine Induced Autism by madinmikala 9 years ago 8 minutes, 17 seconds 1,382,933 views",1,497.0,1401651.0,10142.0,5006.0,0.0,11112.0,1427911.0,0
457,29,Vaccine controversies,Vaccines,https://www.youtube.com/watch?v=cHWeJ0f_o3A,The Truth About Vaccines Docu-series - Episode 1 | Robert F. Kennedy Jr Interview | Smallpox Vaccine,"The Truth About Vaccines Docu-series - Episode 1 | Robert F. Kennedy Jr Interview | Smallpox Vaccine by The Truth About Vaccines 1 year ago 1 hour, 57 minutes 1,187,333 views",1,7045.0,1224909.0,15065.0,1290.0,0.0,3226.0,1244490.0,1
491,30,Vaccine controversies,Vaccines revealed,https://www.youtube.com/watch?v=rJR2zoouMH0,I am a doctor and I now know the truth about vaccines #vaxxed #DidYouKnow #Praybig,"I am a doctor and I now know the truth about vaccines #vaxxed #DidYouKnow #Praybig by VAXXED TV Streamed 1 year ago 24 minutes 497,056 views",1,1482.0,507675.0,10182.0,779.0,0.0,4522.0,523158.0,2
676,39,Vaccine controversies,vaccine debate,https://www.youtube.com/watch?v=FJ7iPn39i08,Robert DeNiro Debates Autism's Link To Vaccines | TODAY,"Robert DeNiro Debates Autism's Link To Vaccines | TODAY by TODAY 2 years ago 9 minutes, 20 seconds 474,295 views",1,560.0,500835.0,3838.0,551.0,0.0,2616.0,507840.0,3
571,33,Vaccine controversies,Vaccines calling the shots,https://www.youtube.com/watch?v=PQsVTlMsQrI,Vacciness -The truth behind vaccinations-,"Vacciness -The truth behind vaccinations- by Noah Neo 6 years ago 51 minutes 409,880 views",1,3117.0,411846.0,5514.0,648.0,0.0,5656.0,423664.0,4
524,31,Vaccine controversies,Vaccines are toxic,https://www.youtube.com/watch?v=jt9rdznYsLI,You'll Be Shocked at What the Flu Shot is Really Doing to You!,"You'll Be Shocked at What the Flu Shot is Really Doing to You! by iHealthTube.com 1 year ago 3 minutes, 58 seconds 403,953 views",1,238.0,407925.0,7062.0,417.0,0.0,0.0,415404.0,5
578,33,Vaccine controversies,Vaccines calling the shots,https://www.youtube.com/watch?v=seqKlU3rTrA,LOOK WHAT AGENDA THE ILLUMINATI WERE PUSHING AT THE 2019 GOLDEN GLOBE AWARDS!,"LOOK WHAT AGENDA THE ILLUMINATI WERE PUSHING AT THE 2019 GOLDEN GLOBE AWARDS! by A Call For An Uprising 1 month ago 12 minutes 384,313 views",1,759.0,396664.0,10763.0,707.0,0.0,5322.0,413456.0,6
530,31,Vaccine controversies,Vaccines are toxic,https://www.youtube.com/watch?v=ml4M8Kjg8SI,The Real Truth Behind Flu Shots,"The Real Truth Behind Flu Shots by Mercola 10 years ago 7 minutes, 41 seconds 349,649 views",1,461.0,350239.0,4160.0,198.0,0.0,319.0,354916.0,7
549,32,Vaccine controversies,Vaccines for babies,https://www.youtube.com/watch?v=lzN4cm1IgZo,My Vaxxed child versus my unvaccinated child,"My Vaxxed child versus my unvaccinated child by VAXXED TV Streamed 1 year ago 19 minutes 315,704 views",1,1158.0,330980.0,5648.0,649.0,0.0,5075.0,342352.0,8
621,35,Vaccine controversies,anti vaxxers,https://www.youtube.com/watch?v=e5T7sHZpw74,Worst Nightmare for Mother of 6 Unvaxxed Children,"Worst Nightmare for Mother of 6 Unvaxxed Children by VAXXED TV 1 year ago 24 minutes 324,259 views",1,1495.0,330187.0,3853.0,1127.0,0.0,4066.0,339233.0,9
